path,source,language,If_CAM,labels,Instance,Identify Result
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoIDEACase2.java,CryptoAPI-Bench,java,1,IDEA used;Default mode used;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoIDEAFieldCase1.java,CryptoAPI-Bench,java,1,IDEA used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoIDEAInFieldCase1.java,CryptoAPI-Bench,java,1,IDEA used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoIDEAMulC1Main.java,CryptoAPI-Bench,java,1,IDEA used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC2.java,CryptoAPI-Bench,java,1,RC2 used;Default mode used;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC2Case2.java,CryptoAPI-Bench,java,1,RC2 used;Default mode used;Insufficient key length;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC2FieldCase1.java,CryptoAPI-Bench,java,1,RC2 used;Default mode used;Insufficient key length;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC2InFieldCase1.java,CryptoAPI-Bench,java,1,RC2 used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC2MulC1Main.java,CryptoAPI-Bench,java,1,RC2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC4.java,CryptoAPI-Bench,java,1,RC4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC4Case2.java,CryptoAPI-Bench,java,1,RC4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC4FieldCase1.java,CryptoAPI-Bench,java,1,RC4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC4InFieldCase1.java,CryptoAPI-Bench,java,1,RC4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoRC4MulC1Main.java,CryptoAPI-Bench,java,1,RC4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2Case2.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2Case3.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2Field.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2InFieldCase1.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD2MulC1Main.java,CryptoAPI-Bench,java,1,MD2 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4Case2.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4Case3.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4Field.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4InFieldCase1.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD4MulC1Main.java,CryptoAPI-Bench,java,1,MD4 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD5.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD5Case3.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD5Field.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD5InFieldCase1.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashMD5MulC1Main.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashSHA.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashSHA1Case3.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashSHA1Field.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashSHA1InFieldCase1.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenHashSHA1MulC1Main.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenMacMD5.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenMacSHA1.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\CertValidationCase1.java,CryptoAPI-Bench,java,1,No certificate validation,-1,
Dsub\other tools\CryptoAPI-Bench\CertValidationCase2.java,CryptoAPI-Bench,java,1,No certificate validation,-1,
Dsub\other tools\CryptoAPI-Bench\CertValidationCase3.java,CryptoAPI-Bench,java,1,No certificate validation,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringAESField.java,CryptoAPI-Bench,java,1,Insecure key generation method;PKCS5Padding used;No IV in CBC;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringAESInFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringAESPositiveCase1.java,CryptoAPI-Bench,java,1,Insecure key generation method,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringCase1.java,CryptoAPI-Bench,java,1,Insecure key generation method;PKCS5PADDING used;No IV in CBC,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringCase2.java,CryptoAPI-Bench,java,1,Insecure key generation method,-1,
Dsub\other tools\CryptoAPI-Bench\CredentialInStringMulCase1Main.java,CryptoAPI-Bench,java,1,Insecure key generation method,-1,
Dsub\other tools\CryptoAPI-Bench\CustomHostnameVerifierExample.java,CryptoAPI-Bench,java,1,No hostname verification,-1,
Dsub\other tools\CryptoAPI-Bench\DefaultHostnameVerifierMisuseExample.java,CryptoAPI-Bench,java,1,No hostname verification,-1,
Dsub\other tools\CryptoAPI-Bench\DES.java,CryptoAPI-Bench,java,1,DES used;ECB mode used,-1,
Dsub\other tools\CryptoAPI-Bench\DSA.java,CryptoAPI-Bench,java,1,Constant seed;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\DSAExample.java,CryptoAPI-Bench,java,1,Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\ECBAES.java,CryptoAPI-Bench,java,1,ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\ECBAESField.java,CryptoAPI-Bench,java,1,ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\ECBAESInFieldCase1.java,CryptoAPI-Bench,java,1,ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\ECBAESMulCase1Main.java,CryptoAPI-Bench,java,1,ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\ECBAESPathCase1.java,CryptoAPI-Bench,java,1,ECB used;No iv in CBC,-1,
Dsub\other tools\CryptoAPI-Bench\EcbInSymmCryptoCase1.java,CryptoAPI-Bench,java,1,ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\ECC.java,CryptoAPI-Bench,java,1,prime192v1 used,-1,
Dsub\other tools\CryptoAPI-Bench\HostNameVerifierCase1.java,CryptoAPI-Bench,java,1,No hostname verification,-1,
Dsub\other tools\CryptoAPI-Bench\HttpCase1.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpCase2.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpFieldCase1.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpInFieldCase1.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpMulCase1Main.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpPathCase1.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\HttpProtocolBBCase1.java,CryptoAPI-Bench,java,1,HTTP used,-1,
Dsub\other tools\CryptoAPI-Bench\ImproperSocketManualHostBBCase1.java,CryptoAPI-Bench,java,1,No hostname verification,-1,
Dsub\other tools\CryptoAPI-Bench\InsecureCipherRSA1024InFieldCase1.java,CryptoAPI-Bench,java,1,Insufficient key length;No padding,-1,
Dsub\other tools\CryptoAPI-Bench\InsecureIVGenerationExample.java,CryptoAPI-Bench,java,1,Hardcoded key;Predictable IV in CBC;PKCS5Padding used,-1,
Dsub\other tools\CryptoAPI-Bench\InsecureRSACipherCase1.java,CryptoAPI-Bench,java,1,Insufficient key length;Default padding;Default mode,-1,
Dsub\other tools\CryptoAPI-Bench\InsecureRSACipherCase2.java,CryptoAPI-Bench,java,1,Insufficient key length;Default padding;Default mode,-1,
Dsub\other tools\CryptoAPI-Bench\InsecureRSAMulCase1Main.java,CryptoAPI-Bench,java,1,Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\KeyExchangeWithoutEntityAuthentication.java,CryptoAPI-Bench,java,1,Lack authentication;Weak DH parameters,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEABICase.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEABICase2.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEABICase3.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEABPSCase1.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000;Insufficient salt length,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBECase1.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBECase2.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEInFieldCase1.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000IterationPBEPositiveCase1.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000;Insufficient salt length,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000PBEFieldCase1.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\LessThan1000PBEMulC1Main.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\MD5.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\MD5Example.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\MD5Example2.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\MD5Example3.java,CryptoAPI-Bench,java,1,MD5 used,-1,
Dsub\other tools\CryptoAPI-Bench\NoSaltMisuseExample.java,CryptoAPI-Bench,java,1,No salt;Use of SHA-256 for password hashing;Hardcoded password,-1,
Dsub\other tools\CryptoAPI-Bench\NullCipherExample.java,CryptoAPI-Bench,java,1,NullCipher used,-1,
Dsub\other tools\CryptoAPI-Bench\PBE.java,CryptoAPI-Bench,java,1,PBKDF iterations less than 1000,-1,
Dsub\other tools\CryptoAPI-Bench\PBEEncryptionExample.java,CryptoAPI-Bench,java,1,MD5 used;DES used;Static salt;Hardcoded password;Insufficient iteration count for key derivation,-1,
Dsub\other tools\CryptoAPI-Bench\PBKDFUsingMD5Example.java,CryptoAPI-Bench,java,1,HmacMD5 used;Static salt;Hardcoded password;Insufficient Iteration Count,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableCryptoKeyAESPathCase1.java,CryptoAPI-Bench,java,1,Hardcoded password,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableCryptoKeyCase1.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableCryptoKeyCase2.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableCryptoKeyInFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient key size,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableCryptoKeyMulCase1Main.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyAESPositiveCase1.java,CryptoAPI-Bench,java,1,Predictable key;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyCase1.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreInFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreKeyCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreKeyCase2.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreKeyFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreKeyPathCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStoreMulCase1Main.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStorePasswordCase1.java,CryptoAPI-Bench,java,1,Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStorePositiveCase1.java,CryptoAPI-Bench,java,1,Insecure key generation method,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableKeyStorePositiveCase2.java,CryptoAPI-Bench,java,1,Predictable key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyCase1.java,CryptoAPI-Bench,java,1,Hardcoded password;Insufficient PBE iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded password;Insufficient PBEKeySpec iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyInFieldCase1.java,CryptoAPI-Bench,java,1,Hardcoded password,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyPathCase1.java,CryptoAPI-Bench,java,1,Hardcoded password,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyPositiveCase1.java,CryptoAPI-Bench,java,1,Insecure key generation method;Weak iteration count for PBEKeySpec;,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEKeyPositiveCase2.java,CryptoAPI-Bench,java,1,Predictable key,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEMulCase1Main.java,CryptoAPI-Bench,java,1,Hardcoded password,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEPasswordCase1.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient Iteration Count,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEPasswordCase2.java,CryptoAPI-Bench,java,1,Hardcoded key;Insufficient Iteration Count;Insecure Password Length,-1,
Dsub\other tools\CryptoAPI-Bench\PredictablePBEStringKeyCase1.java,CryptoAPI-Bench,java,1,Hardcoded password;Low iteration count for PBEKeySpec,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase1.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase2.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase3.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase4.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase5.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsCase6.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsFieldCase1.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsFieldCase2.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsInFieldCase1.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsInFieldCase2.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsPathCase1.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsPathCase2.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsPositiveCase1.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictableSeedsPositiveCase2.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictSeedsMulC1Main.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\PredictSeedsMulC2Main.java,CryptoAPI-Bench,java,1,Predictable seed,-1,
Dsub\other tools\CryptoAPI-Bench\RC2.java,CryptoAPI-Bench,java,1,RC2 used;Default mode;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\RC4.java,CryptoAPI-Bench,java,1,RC4 used;Hardcoded key,-1,
Dsub\other tools\CryptoAPI-Bench\RSA.java,CryptoAPI-Bench,java,1,Insufficient key;Default mode;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\RSAExample.java,CryptoAPI-Bench,java,1,Insufficient key;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\SecureRandomKeyCase1.java,CryptoAPI-Bench,java,1,Insecure key generation method;Insufficient key size,-1,
Dsub\other tools\CryptoAPI-Bench\SetSeedMisuseExample.java,CryptoAPI-Bench,java,1,Static seed,-1,
Dsub\other tools\CryptoAPI-Bench\SHA1.java,CryptoAPI-Bench,java,1,SHA1 used,-1,
Dsub\other tools\CryptoAPI-Bench\ShortSaltMisuseExample.java,CryptoAPI-Bench,java,1,Short Salt,-1,
Dsub\other tools\CryptoAPI-Bench\SSLV2Example.java,CryptoAPI-Bench,java,1,Insecure SSL/TLS version,-1,
Dsub\other tools\CryptoAPI-Bench\SSLv3Example.java,CryptoAPI-Bench,java,1,Insecure SSL/TLS version,-1,
Dsub\other tools\CryptoAPI-Bench\StaticInitializationVectorCase1.java,CryptoAPI-Bench,java,1,Static IV,-1,
Dsub\other tools\CryptoAPI-Bench\StaticInitializationVectorCase2.java,CryptoAPI-Bench,java,1,Static IV,-1,
Dsub\other tools\CryptoAPI-Bench\StaticInitializationVectorCase3.java,CryptoAPI-Bench,java,1,Static IV,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsCase1.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsCase2.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsCase3.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsFieldCase1.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsInFieldCase1.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsMulCase1Main.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsPathCase1.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSaltsPBEPositiveCase1.java,CryptoAPI-Bench,java,1,Static salt;Insufficient salt size;Insufficient iteration count,-1,
Dsub\other tools\CryptoAPI-Bench\StaticSeedMisuseExample.java,CryptoAPI-Bench,java,1,Static seed,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorAESCBCFieldCase1.java,CryptoAPI-Bench,java,1,Static IV;Default key length,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorAESInFieldCase1.java,CryptoAPI-Bench,java,1,Static IV;Default key length,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorMulCase1Main.java,CryptoAPI-Bench,java,1,Static IV,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorPathCase1.java,CryptoAPI-Bench,java,1,Predictable IV in CBC,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorPositiveCase1.java,CryptoAPI-Bench,java,1,Predictable IV in CBC,-1,
Dsub\other tools\CryptoAPI-Bench\StaticVectorPositiveCase2.java,CryptoAPI-Bench,java,1,Predictable IV in CBC,-1,
Dsub\other tools\CryptoAPI-Bench\TripleDES.java,CryptoAPI-Bench,java,1,Hardcoded key;3DES used;Default padding;Default mode;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\TrustSelfSignedCertExample.java,CryptoAPI-Bench,java,1,Self-signed certificates used;Trusts all certificate,-1,
Dsub\other tools\CryptoAPI-Bench\UntrustedPRNGCase1.java,CryptoAPI-Bench,java,1,Insecure PRNG used;Iteration lower than 10000 in PBKDF2,-1,
Dsub\other tools\CryptoAPI-Bench\WeakTLSExample.java,CryptoAPI-Bench,java,1,Insecure SSL/TLS version,-1,
Dsub\other tools\MASC\BadHostName.java,cryptogo,java,1,Allow all hostname,-1,
Dsub\other tools\MASC\BadSSL_Naive.java,cryptogo,java,1,Allow self-signed certificate;Insecure SSL context;No hostname verification;Allow all certificates,-1,
Dsub\other tools\MASC\BlowFish.java,cryptogo,java,1,Blowfish used;NoPadding used;Default key length;Default mode,-1,
Dsub\other tools\MASC\BlowFishSmallKey.java,cryptogo,java,1,Blowfish used;NoPadding used;Insufficient key length,-1,
Dsub\other tools\MASC\CipherExample.java,cryptogo,java,1,DES used;Default mode used;Default padding,-1,
Dsub\other tools\MASC\ContextOfSSL.java,cryptogo,java,1,Insecure SSL/TLS version,-1,
Dsub\crawl\nomisuses\Python\1120packet.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\1281azure_kusto_driver.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\13775multiprocess_launcher.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\1780test_build.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\208solc_select.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\373cryptostore.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\373generate.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\532test_db_backend.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\72517config_domains.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\72517definitions.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\72517endpoints.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\72517test_certs.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\css.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\dammit.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\diagnose.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\element.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\formatter.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_builder.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_builder_registry.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_css.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_dammit.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_docs.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_element.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_formatter.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_fuzz.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_html5lib.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_htmlparser.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_lxml.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_pageelement.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_soup.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_tag.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test_tree.py,github,python,0,,-1,
Dsub\crawl\nomisuses\Python\test.py,github,python,0,,-1,
Dsub\crawl\Py_code\1120tls.py,github,python,1,Insecure SSL/TLS version;SHA1 used;PKCS1v15 used;secp256r1 used,-1,
Dsub\crawl\Py_code\1120utils.py,github,python,1,Insufficient key length,-1,
Dsub\crawl\Py_code\1281domain_utils.py,github,python,1,SHA1 used,-1,
Dsub\crawl\Py_code\146test.py,github,python,1,Hardcoded key;Hardcoded token,-1,
Dsub\crawl\Py_code\3425crypto.py,github,python,1,DES used;ECB used,-1,
Dsub\crawl\Py_code\3425secretsdump.py,github,python,1,DES used;RC4 used,-1,
Dsub\crawl\Py_code\356pyopenssl.py,github,python,1,Insecure SSL/TLS version,-1,
Dsub\crawl\Py_code\400multicast.py,github,python,1,Hardcoded key;ECB used;Insecure padding mechanism,-1,
Dsub\crawl\Py_code\569API.py,github,python,1,Hardcoded key,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCC1.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCdmc1.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCdmc2.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCdva1.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCdva2.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBChc2.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCiva1.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCiva2.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBClv1.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBClv2.py,licma,python,1,Predictable IV in CBC mode,-1,
Dsub\other tools\licma\Crypto\CryptoAESCBCnlv1.py,licma,python,1,Predictable IV in CBC mode,-1,
